,Author,Post Content,No of Reactions,No of Comments,Comment One,Comment Two
16,Sylvia Moreetsi,,148,24,Cervical screening unit phase 2 clinic  Mma Moreri ...tshwara fela jalo....o thusa ka pelo ya gago yotlhe....God bless u.,Cervical screening unit phase 2 clinic  Mma Moreri ...tshwara fela jalo....o thusa ka pelo ya gago yotlhe....God bless u.
17,Katlo Cathy Mogorosi,"Water Utilities CorporationThamagaRe na le two months re sena metsi ,Mmankgodi Kgosing ward ,re letsa every day and you guys promise to attend to the matterkopa le tlo go baakanya",14,8,Ka ga Ba batle go bereka a Ba sutele Ba bangwe ga re kake ra sotlwa k batho re duelela service.k yeo reference No311301058,
18,Neo Ebapile Maimela,"Absa! I went to the bank only to realise that I didn't have my Omang. I gave the teller my passport but she told me that strictly Omang, and that she knew that Omang number is there in both the passport and driver's license. I was about to give up when she asked for my Omang number and asked me to wait.....well done Absa! So they do have a system that can check Omang on line for verification of ID. I was in and out of the Bank for less than 20 minutes, ke thusitswe ke sa …See more",274,176,Its so upsetting that the won't employed the unemployed to input their data so its updated. The want to work with paper to WASTE as much time as they can to get to lunch . license IS ID Passport is ID! And when you update kyc n lose your card YOU HAVE TO DO KUC AGAN!!!,
19,Libumbo Mercy Lithemba-Masole,Banka/Financial institution ha e go gogela madi mme o sa ikolote go reportiwa kae! Madi a teng a busiwa a tlhaela gatwe ke administration fee. Sale ke ba cleara ka April but thy are still getting my moneyBank Gaborone,5,,,
20,Tiye Kez,,5,,"richard nna i want to know what know what we do with agents # consultants who take money from us and don’t communicate, some of us use them because we are held up with work.","richard nna i want to know what know what we do with agents # consultants who take money from us and don’t communicate, some of us use them because we are held up with work."
21,Lebo Busang Mothetho,Btc noo thle network  ya lona ke dibaka fela  bathong  tota garesa bereka due to ur wifi network  ako lo leke go tokafatsa  ahh,,,,
22,Lalah Cathy,Bothata jo bongwe ke jwa Promotions from our mobile networks.. Mascom e tlabo ere buy 2gb data and get 10gb free after recharging and subscribing they give us less than they promised to offer.,13,3,,
23,Pearly Lybo Mokert,,11,10,76078336 heewe re letsa rele ba mascom hee u won P3000 bathong tlhe magodu ga a itsape,76078336 heewe re letsa rele ba mascom hee u won P3000 bathong tlhe magodu ga a itsape
24,Batlhalefi Billy Baingapi,Bathun hle re thusen gatwe Star link what what e bereka jang re lese go jewa ntsoma keBotswana Telecommunications Corporation - BTCaagh noo man.. enough is enough,13,15,BTC I can’t complain,Orange is better
25,Bonang Doclas,Jenny internet is now becoming a problem...it is now common gore ur internet can just go off ND u send us msg dat the tower is offline due to technical issues. Dat is a serious inconvenience,9,12,"Jenny Internet is very good for me so far. The only problem I am having is that my neighbour hasn't paid her subscription so I don't have Internet at home , otherwise all is well.",
26,Tshebetso Thobolo,,5,2,Mascom ke kopa le ntsheng mo basic mode wa lona nnyaa theng se ntsietseng,Le nna maabane ba nitrile jalo.
27,Shameema Desai,"Air Botswana, Flight BP208, from JHB-GABS, 08/09/2025,Was for Teeny weeny people! Full flight but most uncomfortable. Very little space for carry on luggage and worse for Checked Baggage. Most passengers didn't receive their luggage. Still waiting for the Airline to contact me .The airfare is not cheap for a teeny weeny aeroplane and a short flight",28,15,Thank You Air Botswana for my luggage.,"I recently found out that at JNB you have to collect your luggage, and check back in, if you have a connecting flight, and are using air Botswana"
28,Emkay Bw,"Goodday, I just want to congratulate my guy who work at choppies super store,  my guy you got talent to do cakes but for now I just want to appreciate your work.. I really enjoy the cake with my 2 beautiful children.. I passed on your work the said you were off I just want to give 200.00  for appreciation but i will call you..  And God Bless You My Man..",499,75,Choppies railpark e best shem ,rail park spar  ngwanaka bona shem
29,Terrence D Bogale,The system is down in FNBB kanye branch and i hear they are waiting on techinicians from Gabs to fix the issue . Is this an african thing kante? This must be an african problem.,,,,
30,Merkavah Merkavah,"i have my own reservations with Bomaid but i must say im impressed with their ""digital processes"". If you send the documents to the right email address they do act and respond including...yes... claims & the turn around time is amazing. i hope they cud do the same with service providers so that we are not forced to pay cash.",7,2,What is the right email address as Ive been waiting months for a re,
31,Resah Dee,,148,276,"Gooday ,le dira jang di landlord tse di ganang ka security deposit ??","Ke bata go latela Mme yo mongwe mo Palapye, maherehere ao."
32,Mbizvo Lavy,"Masom please ,there is no network in Tonota...any service that is linked to Mascom is disabled...please take us seriously.",2,1,,
33,Mmular Shayn,"batswana betsho kindly help me here, a mme ke kafa molaong to pay gore o hiwe settlement letter? legone o duela madi a kang ka P50 ke hurt gorr",22,22,...we'll end up paying just to go inside a bank someday ,Nna e bile ke rile yame ba e beye ke ta e Lata ba ja batho
34,Chakala More,,6,9,Rona Mascom ko Gakuto e bile i regret for buying it,Rona Mascom ko Gakuto e bile i regret for buying it
35,Portiah Law,,23,14,Naare Mascom re tswe mo go wena rotlhe mo Tonota or re dire jang??,Naare Mascom re tswe mo go wena rotlhe mo Tonota or re dire jang??
36,Wetsho Lerah Rhodes,"Bathong kante pie ye ya spar e ntse Jang,amme e healthy e ntse jaana kana ke go nna ga yone??",130,137,Sale ke emisa go e reka cos go makgetho ke e reka ke fitlhela e sa butswa.. imagine o setse o gorogile ko lwapeng go palama gape ke kgwetlho...,Mala a Sega ke lebile picture 
37,Oteng Oscar Masikara,,25,17,"What's going on with Mascom Network in Tonota, no wifi, no calls and no apologies","What's going on with Mascom Network in Tonota, no wifi, no calls and no apologies"
38,Tshepo Thomas,"Tota mascom ke mathata malatsi a, 7mins ebile data e fedile",5,9,,
39,Tatlhego Bolaane,,14,9,I want anyone who has a good understanding to give me a free lesson on the safety of recycled water used to clean cars,I want anyone who has a good understanding to give me a free lesson on the safety of recycled water used to clean cars
40,Tabulawa Bangu,Tota#Mascomlare re dire jang mo TonotaNetwork ya lona e nna e tsamaya for hours.No this is not right,,3,Mascom le mo Mochudi re bereka g nna re restart di router motshegare otlhe,"Tabulawa Bangu tota re lapile ka network ya Mascom, go lebega e tla nna Soo sa beke le beke"
41,Deekay Sephets,Rich is this right to be lured by adverts!! Trans what you are doing isn't right!!! You advertise goods being on special and low prices on Facebook. You don't  state you limit quantities per customers but do so in the shop!!! Lo re oka ka low prices yet you limit quantities why!!!,3,,,
42,Lembie Mmereki Tlhalerwa,Richard Harrimanis it proper forBuilders Warehouse Gaboroneto demand that we get their store card in order to get a tax invoice?,18,13,Ijoo,
43,Michael Elion,ORANGE BOTSWANA akere le rile maintenance ke from 23:30 to 4:00 jaanong go eng ka network mo maranyaneng e gana jaana,2,,,
44,Lapologang Ntsima,,29,35,Orange Botswana.Are u aware gore le re ja ntsoma...re reka di bundle le tsaya madi go tsweng foo you do not credit the bundles.ke bogodu jaanong,Orange Botswana.Are u aware gore le re ja ntsoma...re reka di bundle le tsaya madi go tsweng foo you do not credit the bundles.ke bogodu jaanong
45,Thatayaone Oarebona,Mascomkante nele dirile research before lere okeletsa mboste kana Gona le bangwe ba kileng ba ngongorega gore skoloto se okediwe? Kana gomo gare bolaya tota gare thola re tsenya airtime gohlelele..ke kopa re boele hela ko maximum wa P30 please,106,34,Re togele rona ba re kgonang go afford go duela sekoloto sa mbooste  le fa se ka nna 2000pula,Orange is the best when it comes to sekoloto
46,Richard Harriman,"I wish more companies worked like this.Yes, of course we can complain, criticise and even get a little angry sometimes. But there are limits.",5,,,
47,Tshegofatso  Pone,"Mascomhle la re ja,ke subscribe ka 10:05  abo re 10:20 a bo le mpolella gore ke setse 50mb ebile..ke ise a bo ke play le fa ele yone video ao",31,23,Mascom yar jaa tota k bogodu golo mo e go dirang Mogo Rona tota, a se koo ke kwano mme nna ga ke ikutwele botlhoko ka gore ntse ke dirisa orange ga ke itse gore ne ke itumeletse eng ke sub ka mascom ke raa beke e hedile hela ba mpetsa ka 50mb ka go bolella bo satane bao
48,Theriso Segobaetso,OK FURNITURES PILANE BRANCH... YOUR SERVICEI AM EXTREMELY DISSAPOINTED,5,19,Mme ha o ka ba utlwa ba re special hewe hewe.,
49,Destiny Tunza,"Kudos to batho ba Lea baba re rutang ko di training tsa Chema Chema, batho bao ba lerato tota..Gonale yo mongwe o bidiwa MmaB na re trainer mo PalapyeYou are the best mma ,tshwara fela jalo..",27,,,
50,Bogadi Maake,"Ke ntse ke tshela haEngenBotswanaya bohelo o tswa ka gabs, so I told them to put 400,nna ke bona lenaka le sa tsamae, mme ngwanyana nyana a tshela, ha ke mmotsa are o tshela ka pump ya the other side, basimanyana ba theogetseng le bone ba mo lebetse, bo nnaka hale nkutswetse le tsile go se bona, because fuel ya teng kea e bona gore gase yone, le utswetse o sele..",159,75,"Bao ga ba kake ba go utswela, they are very professional, very disciplined...",Ga o tshela fologa koloi o itebele gore a mme fuel ya tswa mo lethumbong e tsena mo koloing. Le ga le re omanya lere ra le diya nna ka fologa.
51,Dallas Nash,"You’ve probably noticed that regular mushrooms (button, brown, Portobello etc.)  have disappeared from the shops, the border having been closed. Some local oyster mushrooms have subsequently appeared in their stead. Shotgun consumerism – take it or leave it.However this morning I found a few own-brand 250gms packets of button mushrooms in the fridge in Pick n Pay, Riverwalk. I was about to put a punnet in my trolley when I noticed the price was marked P44.95 for what would n…See more",91,102,Kante le irang ko pick n pay mme FoodLovers ya ko CBD le Palapye Lotsane Junction e nna e tletse ka veges of all kinds,
52,Pervious Dimitri,Mascomwhy send a promotional sms for something not valid yet?,,1,,
53,Ponatshego Ookeditse,Koore re too reMascoma bo re tswa ka Motse...le nkgaolelang subscription ke e dirile ka di 8 gape e le unlimited?,15,6,Mascom thanks for addressing my issue on time....Ditsala gatwe malatsi ame a wetse today 30 days ka gore August o fedile ka di 31 ...waitse nna nne ke itebetse tota ke re ke kgaolwa kamoso,
54,Thapelo Mhotsha,"It’s frustrating when the numbers on a debit card start to wear off, especially when the card isn’t embossed. For those who frequently use their cards or keep them in wallets, this can be a common issue. It’s important for banks likeAbsa Bank Botswanato consider durability when designing their cards. You might want to suggest that they explore better printing methods or consider returning to embossed numbers to improve longevity.",37,29,Nna yame le gore e expire leng gakeitse coz gobsuthegile gothe,
55,·,Every Bank 🤣🤣,4,,,
56,Refilwe FiFi Sefiwa,"I would like to praiseChoppies BotswanaGame City for an amazing service yesterday. It was packed but your staff were awesome and friendly as always, they served and helped everyone with a smile. God bless your staff. The bonus were the cakes, I can attest that your bakery is the best with great prices.",43,1,thank you,
57,Anaya Tlotso,Pedros Botswanaoasis mall lhee bathong ke sule ke tlala aohour etlaabo e wele,1,3,Pedro's ke maaka hela when it comes to delivery. Nkile Ka ema 2 hours for delivery ya dijo. Ke leleditse call centre gabedi go ntse go twe Di mo tseleng. And e ne e le Labobedi BA dira jalo. Tota hela Pedro's e palelwa ke delivery.,"I ended up cancelling the order nna ebile..le mme wateng yoo nneng kemo leleditse kefa a nthusa ka makgakga ,atla a bua le batho kafa thoko..kooteng neh a tseela gore ke letsa mahala and aftr that they called me ka 1100hrs bare ba kopa directions..ke i… See more"
58,Doreen Kgomo,,64,28,FNBB Palapye branch your customer service is top notch .Keep it up.,Tefo Manyeula go tewa wena
59,Tsina Pearl Joki William,"I'm not happy tota ka Nyanganywe, since ke ikuela gore nne ba sa ntsaya sentle ga ba ise ba kopane le nna, I'm not happy tota.",20,4,O ikuetse ko go moeteledi pele wa kokelo (Hospital Superintendent)?,Owai dio tsa mahala. Hane ele private kabe osa bolo go romellwa apology email
60,Chris Pen,,104,74,Is it possible gore an FNB ATM e ntshe less amount of money than the one you requested for? Kana gongwe ke dirwa ke lechono.,Is it possible gore an FNB ATM e ntshe less amount of money than the one you requested for? Kana gongwe ke dirwa ke lechono.
61,Thamalakian,"Someone just sent me this, arguably he has the same case as mine, Sheriff e mo jeetse madi a ise a dire their bill of cost, this is the kind of response he got from the Sheriff, o ko MaunConsumer Watchdog Botswana",7,5,No lawyer writes like that! , some lawyers though.
62,Connie Mothibi,Mascom this is harassment at its best.,35,28,Nna go tsena sms ee supang o kare ke zametse mongwe bundles ka phone yame. Santa motho yoo gke mo itse I even called the number gr ke nale seemo. Gone hela ha sms e tsena gr that other number has 50mb left yame etlaabo e report yame le nna ke raya ha g… See more,The smses can be sent di le bo 70 in 30 min...ka nako eo sa le o nneile offline
63,Young Blaq,"Di tumalano ke 3 months ke eme for Six months ba boa ba add 1 month,,,why",2,7,Did you submit your income tax returns? Check your tax compliance statement first,Makgetho...ya Ko BURS in person
64,Given Semakaleng Kethibogile,"DumelangPardon me if I'm wrong, I just wanna ask if this is how TRANS Cash & Carry liquor shop operate. We were queuing to pay and i was first, so this man comes up and wants to be assisted before me... so the gentleman behind me started defending me and explaining that there's a queue so he should follow the line. It started to be chaos (go omanwa) in the shop and one of the Trans employees asked the gentleman who was defending me to keep quiet or he can leave the shop, im…See more",321,120,Heee banna nna nka ba neela nnake Moabi Lilly Moabi ,Trans ya Tlokweng mme wa security o kile a nkgomogela ke re ke reka jwala mmanyana a re “heee golo hoo go reka ba di license hela “ebe ke iphaphatha 
65,Omphemetse Gustav Kakhu,"Nando'sgame city this right here was paid for P226, a full chicken with 2 sides (the driest peri tatos I have ever had). As everyone can see, the chicken too does have any sauce, my esophagus is hurting from the choke slams. I didn't even eat this to be honest, ke kopa refund and apology for this",279,185,Le re tswisa pelo bathong,"The sides are gone, the full chicken is now half....ako o heletse dijo o lese go ja data yaga Zakabeke"
66,Malebogo Phuthegelo,Let me take this time to appriciate this gentleman he did a great job on thursday .i went to see my doctor 4 check up nd it happen dat some one was packing nd mistakenly bumped in to my car on da next packing this man said he heared noice nd came running to the inncident where  i found him standing near my car nd the man who bumped  in to my car waiting 4 me to come nd luckly i was near by 2min after the inncident then upon my arrival he narrated the story to me nd i took it …See more,1.3K,88,"Keep it up my boy, very proud of you ", hare bonne mma tiro ba e dira...big up to him.i can also testify.
67,Kenneth Kobamelo Koobake,"Dumelang..two days ago i posted here complaining about Western Furniture and Appliances Mogoditshane,opposite Kays...they called me,apologized and they gave me a new blender..thank you so much WESTERN FURNITURE AND APPLIANCES...LE KAMOSO",53,11,Western Furnitures nne le batla go postiwa pele or gale le gale le rata attention?,"After ba sena go nna ba go Sotla,mxm ka malao a welang"
68,Tshepiso Akanji Motlhaping,"good morning Mr Richard, can you please help me out here. last week my devices got stolen so I contacted @ROYAL HOUSE MEDIA to help me track and locate the devices and they complied. So, the issue is that:on saturday morning they told me that they had tracked the devices and that i should send the a deposit and they would depart from Jwaneng and help me collect the device with the help of the police at the appointed time of 14:30. since they didn't arrive at my location i tr…See more",19,11,Magodu a go swa a kgoname!,Nna ebile ba mblokile
69,Beverly Peloentle,"Good day I need an advise .Me and my brother had motshelo ,the traditional one and he was still a student.Last year when we were supposed to get our contributions he didn't payout ,I couldn't understand the reasons.It's only now that he tells me his account was blocked for KYC ,because he was using a student account ,the account holds 31k now and he says FNB has refused to give out the money because he was using a student account to keep money and they said it's not allow…See more",51,5,"Kana di banka Dina Lego golegwa batho ba jele madi, I remember another story gotwe madi a hedile ko Bank of Gabs ",
70,Mandevu Tumy Tumelo,"We want to take this opportunity to applaud CID ya G-west police station. Re a leboga, within a week of reporting the case everything was on motion they are able to apprehend ALL culprits. They advised and counseled us on how to approach the situation at hand. Day and night they would call with updates. They posted the ringmaster on their social media page and within a week he was apprehended, re lebogela thuso ya lona, its not the first time we receive stellar service from G…See more",80,23,Gwest go lebega e dumela mo maduong..keep it up officers,
71,Tapo Matlapeng,,4,7,Botswana Power Corporation please explain your weekly maintenance like i’m 5 where we are powerless the whole day?! every week without fail,Botswana Power Corporation please explain your weekly maintenance like i’m 5 where we are powerless the whole day?! every week without fail
72,Richard Harriman,,29,8,Iyooh they don't get tired,You will be paying for an even that will never take place and you wont be able to do anything with it
73,Richard Harriman,,8,,,
74,Matshaba Boutlwetse,Who is protecting service providers from unjust clients? I'm saying this because we have experienced last minutes cancelations and we let it slide but these are inconveniences that come with costs. Legal route is costly but it seems it's the only way...how else can service reclaim their costs? I saw a lady here the other day about platters she was supposed to deliver and the client canceled.,29,9,"This question reminds me of that 1 ya false accusations..... Anyways MA man always ask for a deposit, atlist just 50%... We know competition is tough out there",Buwa ya gago kgang o togele ya di platter
75,Kelly Mmereki,"Absa Bank Botswanake gore gatwe re reng. Sale ke dira M-wallet transaction ka di 2 July, Madi haa goroga ko neng kea romela teng but a dule mo account. They said refund takes 7 working days but that didn’t happen. Went to the bank ka di 23 July bare ga kea thusiwa sente ke dire mokwalo which I did, ne gotwe a ta tsaa 14 days mme le jaanong ke eme hela. I went back to the bank ka di 20 august gatwe query e dirilwe Mme go supa e ise e attendiwe ke bereka go letsa ke bolellwa b…See more",12,11,Owaii bao ba ABSA ke maakan fela. Nna kana e kile yare ke eme mo lone ko airport junction for 50 minutes ga ke tsena ke ga Mmereki wa bone ke santse kere ke batla go tlhaloganya ke are Mma o dia line emela fa thoko. Ke santse ke botsa gore madi a repor… See more,
76,Tsaone M Sefore,"Ke nna yoo ke reka ticket ya bus ya 20:00hrs Ghanzi to Gabs ya Kamela Travel and tours -Business Ambassadors P OBox 587 Ghanzi (71255254)Ke duela p235 ke fiwa ticket and seat number 69 .I get mo bus at 8o’clock i find another customer seated mo number 69, i ask the guys ba di conducter bare bone they have no solution they don’t know how that happened.Kana we’re complaining yaana bus ya tsamaa while I’m asking to be refunded ke sale mo Ghanzi. They ignored me ba tsamaa!And …See more",187,132,Go dirwa jalo go jewa Madi a ditilo,
77,Kagiso Mogomotsi,"Gongwe nna sengwe ga ke se dire sentle, ga ke itumelle sepe ka Mascom, Orange le BTC. O kgona go kgopisega ke their networks, Mascom o kopana le sekoloto o sa se itse, oya BTC Internet e nna slow. O tla kubuga ore o dire mole le mole le mail o ka se tsamaye. Re humanegile. Buang le bone tlheng dinako ga se tsa maloba re tshela ka maranyane.",3,,,
78,Tshepi Hustels,"Dumelang Botswana, thusang ha, how much does does it cost to withdraw money from a different bank at the ATM? since when are we charged this much for withdrawing money from an ATM. I was using fnb card and when I asked the security lady , she told me it's because I'm using a different bank",63,108,I also see that message yesterday then I left I couldn't believe it even orange money is better than how could I be charged 30.00 just to withdraw money it's crazy,Ijaaa nna message yoo ganke ke o bala ke tobetsa okay continue fela.go Raya Madi ame a jewa Stanbic waitse
79,Leyendi Kim Kgosigadi,"Waitse fa ke feta fa mascom ke bona Di customer TSA bone di fodile line for kyc ke ipotsa ba lopelang ,le utwa Yang tswang mo mascom data ya bone e lasta 30min . As for their router subscription ke torture WA go bereka Ka yone o lopela .",19,12,"Nna tota ba ntshwere sentle ,though they can improve here and there.",Ga esa go berekele ga se gore rona ga ere berekele tswelela fela le network e o e dirisang ore tlogele I use mascom and I enjoy it Ya 30 minutes le ya Gago ole nosi
80,O Shi Mo,OrangeMosola wa router ya lona ke eng?Ke gore we subscribe for your own gain not for the expected consumer benefits.,6,4,Thats orange for you,
81,Wame Mmolawa,"Mascom…I can’t afford to buy another router from a different service provider. I have called many many times to report this. Nothing has changed. My question to you is should I just give up? Mind you…I’ve just subscribed not more than 2 hours ago. With my very hard earned money, not to say the least.",4,19,I believe the Mascom account that has been saying they apologize for the poor service is just to save face. ,
82,Lebo Seth,,1,4,"Richard  mpoletse #Mascom  why,why on my airtime while I subscribed Masika...","Richard  mpoletse #Mascom  why,why on my airtime while I subscribed Masika..."
83,Puni Bagotsi,,166,71,"Big up to Victor of Jwaneng,  Standard Chartered Bank. His service is top notch and he's always bubbly when giving service.","Big up to Victor of Jwaneng,  Standard Chartered Bank. His service is top notch and he's always bubbly when giving service."
84,Kabo Phillip,A special shout out to Mr Setshwantsho fromKWENENG DHMTScottish Livingstone Hospital   - Head of Accounts for the world class customer service. I am a happy client,31,2,Big up to him,
85,Basadi Masimolole,"Giving Credit where it's due toRhapsody's Sebele● Long story cut short●I lost my phone on  Friday whilst in  a very bad mental space due to holding space for my family ● Yesterday I went back to Rhapsody just for closure● I got an update by one of the managers that  through the ""bouncers""  whatsapp groups a phone which  was dropped by the parking lot on Friday had been picked by one of the bouncers and  safely kept ● Thank you thank you to Rhapsody Brand● Whilst I had alre…See more",107,6,"That bouncer deserves a drink  its very rare these days to find people of such a calibre. I tip my hat to you gent for your gesture, a man amongst men.",I hope you are doing better 
86,Nkosi Moremi,"This is the state of our Rest Areas around our national highways .To say this is an eyesore is truly an understatement ,thousands of tourists stop at these places and this is what they see a poor representation of our country,can anything be done who is responsible for these places?×9+[=",16,13,Even today at The Fields Mall where the kids play.  People apparently ate lunch and left the rubbish for ?  The next people did not have a clean place to sit.  It’s time we all learn to throw our own rubbish and leave places clean!   We can do it!,
87,Mma Sadie,Standard Chartered please bring back my money. I swiped on the 26th and the transaction was declined yet money was deducted from the account. I have been trying to contact your call center in vain coz there seems to be a problem with the phone. The conversation is not audible and i use airtym for those calls. Money for two transactions were returned and i am left with one. This is such an inconvinience because now i have to spend money on airtym to call for help,7,4,Go to the Standard Chartered Botswana Facebook page and inbox them. They are too quick to respond and help.,Ba rata kgang ya go busa madi ka go a kgaoganya yet ba a gogile nako e 1.
88,Ontuetse Motlaleng Letloa,"Dumelang. Nna ke kopa gore le nthuse ba Hollard Insurance. Ke tsere funeral policy ya bone ka 2019. This year agents tsa bone came to our workplace and convinced me go chenjela ko funeral policy e ncha ya Monametsi. They told me gore tabe ke switcha automatically,  ke sena waiting period mo new policy. Gone jaana policy tseo di goga madi tsothe ka bobedi. Fake leletsa ko headquarters bare bone kgang ya switching gaba e itse. Bare ke thoka go canceller policy e nngwe if kesa k…See more",134,91,Mo nyedise,
89,Sese Channock,Jaanong what is thisOrange,20,24,Orange kana e re jela airtime bathong,Maloba ke fa ke irega jang gotwe ke subscribetse mo
90,Refilwe Phenyo Moapare,"I would like to name and praise mrs Obakeng Motingwa and mrs Thelma Meswele of Absa Jwaneng Branch! Customer service e ko top!Absa Bank Botswanale ipecheditse, you have gems",28,,,
91,Gladys Kebotsamang,Ke tenega sesha fa go postiwa ka clinic yele ya Ex 2ha le ka mpona kwa le nkalole never ke ya kwa,36,10,Gongwe oraa Julia Molefe esele eke e itseng ya block9 e tshwana hela le yone eo.,That clinic id the worst. Once went there around 3pm ke dulr Ka 8pm with no help. no man.ne re ntse hela rothe re le respectful and quiet but no one helped us
92,Eddy Mihigo,"I've just learned thatFNB Botswanaoffers no protection against ""pending"" fraudulent accounts in case a client's card was skeemed or cloned. We just suffered an incident and our account has been cleaned out and the best the bank can do is to tell us ""there's nothing they can do!"" Even when the transactions have not been cleared yet? Makes zero sense to me, but I'm not a bank so I'm ignorant.There's so much I want to say, but God hold my tongue. I will say this, try and dea…See more",35,20,Yhooo bathong that's so sad. Waitse mme fnb bathong ng ng why is it everytime it is fingered in these sad stories of money issues! Nako ya batho ba tsiediwa ke di phonzie scheme it was mentioned ng ng go a belaetsa ,
93,Pearl Lefa Lilly Seitiso,Good morning. I have a question.,323,482,An hour?,Mo ree a tsise balance a tseye dijo tseo adi rekise
